PID,AGE,GENDER,ZIP CODE,COUNTY,PROGRAM START DATE,POSITION,JOB START DATE,JOB TERMINATION DATE,WAGE,HOURS PER WEEK,EDUCATION,Quarter and Year
PID05160,51,male,11226,Brooklyn,2012/11/12,Administrative,2013/11/1,2013/12/26,10,20,HS Graduate,Q4-2013
PID11398,33,male,11412,Saint Albans,2013/4/3,Administrative,2013/10/23,,7.5,20,HS Graduate,Q4-2013
PID00680,43,male,11208,Brooklyn,2013/10/28,Administrative,2014/3/19,,11,20,HS Graduate,Q1-2014
PID17685,27,female,11203,Brooklyn,2014/6/29,Administrative,2015/5/31,,25,30,HS Graduate,Q2-2015
PID13957,25,female,11206,Brooklyn,2014/3/11,Administrative,2014/4/21,,15.14,40,HS Graduate,Q2-2014
PID02806,35,male,11692,Arverne,2014/10/24,Administrative,2015/9/18,,12,30,HS Graduate,Q3-2015
PID01814,51,male,11226,Brooklyn,2013/7/1,Administrative,2013/7/22,2013/8/20,10,25,College,Q3-2013
PID13724,45,male,10452,Bronx,2015/1/13,Administrative,2015/6/24,,8.38,40,HS Graduate,Q2-2015
PID16531,51,female,11216,Brooklyn,2013/9/4,Administrative,2014/9/2,2015/2/9,8,30,HS Graduate,Q3-2014
PID02993,34,female,11208,Brooklyn,2015/3/5,Administrative,2015/3/30,,13.32,25,HS Graduate,Q1-2015
PID19685,36,male,11214,Brooklyn,2012/8/19,Administrative,2013/5/14,,9,20,HS Graduate,Q2-2013
PID00672,29,female,11234,Brooklyn,2014/10/16,Administrative,2015/10/1,,12,30,HS Graduate,Q4-2015
PID17956,30,female,11212,Brooklyn,2013/10/21,Administrative,2014/1/21,2014/2/10,11,25,HS Graduate,Q1-2014
PID18765,31,male,10462,Bronx,2015/9/7,Administrative,2015/10/14,,15.68,30,College,Q4-2015
PID13962,45,male,11236,Brooklyn,2014/3/20,Administrative,2015/1/6,,32.35,40,Post Graduate,Q1-2015
PID02923,23,female,11216,Brooklyn,2014/12/18,Administrative,2015/8/27,,14.5,35,HS Graduate,Q3-2015
PID19209,43,male,11236,Brooklyn,2013/12/29,Administrative,2014/12/24,2014/12/29,22.5,35,College,Q4-2014
PID00477,28,male,11221,Brooklyn,2014/3/13,Administrative,2015/2/16,,9,30,HS Graduate,Q1-2015
PID15265,28,male,11691,Far Rockaway,2014/11/2,Administrative,2014/12/29,,8.75,20,HS Graduate,Q4-2014
PID10363,27,female,11691,Far Rockaway,2012/9/4,Administrative,2013/3/4,,10.81,30,HS Graduate,Q1-2013
PID06965,52,female,11201,Brooklyn,2014/7/24,Administrative,2015/5/11,,16,35,HS Graduate,Q2-2015
PID14182,32,female,11221,Brooklyn,2013/9/29,Administrative,2014/7/7,2014/9/12,20,35,HS Graduate,Q3-2014
PID08312,51,male,11232,Brooklyn,2013/11/5,Administrative,2014/7/15,2014/11/15,24.5,30,HS Graduate,Q3-2014
PID16270,52,male,11207,Brooklyn,2015/1/1,Administrative,2015/1/22,2015/1/28,10,35,HS Graduate,Q1-2015
PID00745,62,male,11228,Brooklyn,2012/2/1,Administrative,2012/11/12,2012/11/12,12,30,HS Graduate,Q4-2012
PID10234,46,female,11233,Brooklyn,2014/5/14,Administrative,2014/7/8,2014/8/4,40,27,College,Q3-2014
PID00200,31,female,11692,Arverne,2014/9/27,Administrative,2015/2/9,,9,30,HS Graduate,Q1-2015
PID09912,39,male,11225,Brooklyn,2014/9/17,Administrative,2015/3/23,,12,40,HS Graduate,Q1-2015
PID13928,30,female,11101,Long Island City,2013/11/9,Administrative,2014/1/2,,21,36,HS Graduate,Q1-2014
PID19776,50,male,11213,Brooklyn,2014/5/7,Administrative,2015/2/23,2015/2/23,9.5,30,HS Graduate,Q1-2015
PID15922,34,female,11207,Brooklyn,2012/4/28,Administrative,2013/2/12,2013/2/18,7.25,30,HS Graduate,Q1-2013
PID02995,29,male,11692,Arverne,2014/11/25,Administrative,2015/9/3,,15.6,30,HS Graduate,Q3-2015
PID09601,40,female,11207,Brooklyn,2014/4/19,Administrative,2015/1/25,2015/4/20,9,25,HS Graduate,Q1-2015
PID19695,25,male,10027,New York,2012/4/12,Administrative,2013/1/11,2013/3/7,9,25,HS Graduate,Q1-2013
PID04941,49,female,11226,Brooklyn,2012/6/28,Administrative,2013/3/21,2013/3/29,9,40,HS Graduate,Q1-2013
PID11336,40,male,11220,Brooklyn,2014/11/26,Administrative,2015/8/17,,13.92,40,HS Graduate,Q3-2015
PID11337,40,male,11220,Brooklyn,2014/11/27,Administrative,2015/8/17,,13.92,40,HS Graduate,Q3-2015
PID10001,29,male,11212,Brooklyn,2014/6/12,Administrative,2015/2/26,2015/3/19,8.75,20,HS Graduate,Q1-2015
PID18116,42,male,11226,Brooklyn,2014/12/30,Administrative,2015/9/15,,20.67,40,College,Q3-2015
PID11413,30,female,11691,Far Rockaway,2013/5/11,Administrative,2014/1/15,2014/3/21,9,25,HS Graduate,Q1-2014
PID12586,25,female,11411,Cambria Heights,2014/12/11,Administrative,2015/8/10,,35,15,Post Graduate,Q3-2015
PID11559,29,female,11692,Arverne,2012/10/31,Administrative,2013/6/25,,30,30,HS Graduate,Q2-2013
PID01531,42,male,11207,Brooklyn,2015/2/25,Administrative,2015/10/19,,15,40,College,Q4-2015
PID03416,49,male,11226,Brooklyn,2014/9/4,Administrative,2015/4/22,,26,40,HS Graduate,Q2-2015
PID00671,29,female,11234,Brooklyn,2014/7/1,Administrative,2015/2/9,,12,30,HS Graduate,Q1-2015
PID15771,32,female,11201,Brooklyn,2014/8/22,Administrative,2015/4/2,,20,30,HS Graduate,Q2-2015
PID03285,55,female,11221,Brooklyn,2014/2/15,Administrative,2014/9/17,,15.11,35,HS Graduate,Q3-2014
PID16549,24,male,11233,Brooklyn,2014/3/29,Administrative,2014/10/21,,8,35,HS Graduate,Q4-2014
PID09606,53,male,10469,Bronx,2014/6/20,Administrative,2015/1/12,,15,30,Some College,Q1-2015
PID18117,42,male,11226,Brooklyn,2015/3/4,Administrative,2015/9/15,,20.67,40,College,Q3-2015
PID18118,42,male,11226,Brooklyn,2015/3/5,Administrative,2015/9/15,,20.67,40,College,Q3-2015
PID00881,45,female,11423,Hollis,2012/10/7,Administrative,2013/4/15,,7.25,20,HS Graduate,Q2-2013
PID14172,54,female,11226,Brooklyn,2014/4/2,Administrative,2014/10/8,,21.61,30,HS Graduate,Q4-2014
PID01120,31,female,11207,Brooklyn,2014/9/4,Administrative,2015/3/3,,15,30,HS Graduate,Q1-2015
PID16145,55,male,11216,Brooklyn,2012/1/4,Administrative,2012/7/2,,24,40,College,Q3-2012
PID01630,51,male,10468,Bronx,2014/11/21,Administrative,2015/5/20,,16,30,HS Graduate,Q2-2015
PID17278,31,female,11206,Brooklyn,2014/4/9,Administrative,2014/10/6,2014/10/27,13.68,20,HS Graduate,Q4-2014
PID14173,52,female,11207,Brooklyn,2012/10/11,Administrative,2013/4/8,,12,35,HS Graduate,Q2-2013
PID15819,26,female,11434,Jamaica,2013/8/19,Administrative,2014/2/14,,15,20,HS Graduate,Q1-2014
PID11411,38,male,11224,Brooklyn,2013/7/12,Administrative,2014/1/7,2014/3/25,8,24,HS Graduate,Q1-2014
PID03888,33,female,10459,Bronx,2013/2/8,Administrative,2013/8/5,2014/1/30,13.46,40,HS Graduate,Q3-2013
PID04389,32,female,11226,Brooklyn,2013/11/9,Administrative,2014/5/6,,27,40,College,Q2-2014
PID15273,36,female,11208,Brooklyn,2013/6/18,Administrative,2013/12/13,2013/12/20,11,30,College,Q4-2013
PID00192,42,male,11377,Woodside,2012/2/11,Administrative,2012/8/6,2012/8/9,10,30,Some College,Q3-2012
PID16618,51,male,11102,Astoria,2013/3/30,Administrative,2013/9/23,,7.25,30,HS Graduate,Q3-2013
PID16281,36,female,11373,Elmhurst,2014/3/18,Administrative,2014/9/11,,15,20,HS Graduate,Q3-2014
PID12306,27,female,11213,Brooklyn,2013/11/16,Administrative,2014/5/12,2014/10/21,11,30,HS Graduate,Q2-2014
PID17952,46,female,11204,Brooklyn,2013/7/29,Administrative,2014/1/21,,11,25,HS Graduate,Q1-2014
PID16033,45,male,11207,Brooklyn,2013/10/21,Administrative,2014/4/15,,21.34,30,HS Graduate,Q2-2014
PID10336,38,male,11226,Brooklyn,2014/4/6,Administrative,2014/9/29,2014/11/28,8,30,HS Graduate,Q3-2014
PID18494,52,male,11432,Jamaica,2014/9/8,Administrative,2015/3/3,,12.5,40,HS Graduate,Q1-2015
PID17947,53,male,11233,Brooklyn,2014/1/5,Administrative,2014/6/30,2014/8/18,11.5,25,HS Graduate,Q2-2014
PID18767,29,female,11238,Brooklyn,2013/2/3,Administrative,2013/7/29,2014/6/1,15,30,HS Graduate,Q3-2013
PID05675,54,male,11222,Brooklyn,2015/1/8,Administrative,2015/7/2,,40,37.5,Post Graduate,Q3-2015
PID00890,42,female,11219,Brooklyn,2011/3/10,Administrative,2011/9/1,,7.8,30,HS Graduate,Q3-2011
PID01539,46,female,11414,Howard Beach,2011/11/22,Administrative,2012/5/15,,19,30,HS Graduate,Q2-2012
PID16534,46,male,11226,Brooklyn,2013/3/12,Administrative,2013/9/3,,7.25,35,HS Graduate,Q3-2013
PID00193,40,female,11691,Far Rockaway,2011/8/16,Administrative,2012/2/6,2012/3/3,7.25,30,10,Q1-2012
PID02176,61,male,11432,Jamaica,2013/11/2,Administrative,2014/4/25,,16.5,35,HS Graduate,Q2-2014
PID16218,32,male,11216,Brooklyn,2013/11/8,Administrative,2014/5/1,,21.99,24,College,Q2-2014
PID01118,38,male,11233,Brooklyn,2014/3/11,Administrative,2014/9/1,,15,30,HS Graduate,Q3-2014
PID11412,30,female,11213,Brooklyn,2014/7/7,Administrative,2014/12/28,2015/1/14,8.75,28,HS Graduate,Q4-2014
PID13717,32,male,11204,Brooklyn,2014/8/5,Administrative,2015/1/26,,12,35,HS Graduate,Q1-2015
PID05118,30,female,11209,Brooklyn,2014/9/6,Administrative,2015/2/27,,19.71,20,HS Graduate,Q1-2015
PID16282,57,female,10475,Bronx,2014/9/29,Administrative,2015/3/22,,22,30,HS Graduate,Q1-2015
PID05674,37,female,11203,Brooklyn,2015/3/10,Administrative,2015/8/31,,20,35,HS Graduate,Q3-2015
PID03580,37,female,11226,Brooklyn,2011/6/22,Administrative,2011/12/12,,22,40,HS Graduate,Q4-2011
PID03877,50,male,11235,Brooklyn,2012/11/21,Administrative,2013/5/13,2013/9/15,20,40,HS Graduate,Q2-2013
PID04939,56,female,11433,Jamaica,2013/5/20,Administrative,2013/11/9,2013/11/9,10,30,HS Graduate,Q4-2013
PID10230,55,female,11224,Brooklyn,2013/2/27,Administrative,2013/8/19,,15,35,HS Graduate,Q3-2013
PID19648,48,female,11361,Bayside,2015/1/7,Administrative,2015/6/29,2015/8/28,21,21,College,Q2-2015
PID01840,38,male,11216,Brooklyn,2011/9/18,Administrative,2012/3/8,2012/4/8,20,30,HS Graduate,Q1-2012
PID11402,32,male,11692,Arverne,2012/8/4,Administrative,2013/1/23,,8,20,HS Graduate,Q1-2013
PID01464,57,male,11216,Brooklyn,2012/11/10,Administrative,2013/5/1,,16,35,HS Graduate,Q2-2013
PID07520,22,female,11233,Brooklyn,2013/10/20,Administrative,2014/4/10,,8,40,HS Graduate,Q2-2014
PID03594,55,female,11208,Brooklyn,2014/1/9,Administrative,2014/6/30,,17.58,40,HS Graduate,Q2-2014
PID06953,56,male,11221,Brooklyn,2014/10/30,Administrative,2015/4/20,,18,25,HS Graduate,Q2-2015
PID15266,25,female,11691,Far Rockaway,2014/7/25,Administrative,2015/1/13,2015/4/1,10,30,HS Graduate,Q1-2015
PID07873,47,female,11226,Brooklyn,2012/6/1,Administrative,2012/11/19,,7.25,30,HS Graduate,Q4-2012
PID02131,53,male,11213,Brooklyn,2014/6/7,Administrative,2014/11/25,,8,40,HS Graduate,Q4-2014
PID17105,30,male,11423,Hollis,2012/9/26,Administrative,2013/3/15,,12.15,20,HS Graduate,Q1-2013
PID16535,44,male,11207,Brooklyn,2012/10/10,Administrative,2013/3/29,,7.25,35,HS Graduate,Q1-2013
PID16553,22,male,11225,Brooklyn,2014/8/31,Administrative,2015/2/17,,8.75,35,HS Graduate,Q1-2015
PID05428,48,female,10457,Bronx,2015/3/7,Administrative,2015/8/24,,14,40,HS Graduate,Q3-2015
PID16856,28,female,11221,Brooklyn,2015/4/4,Administrative,2015/9/21,,19,35,College,Q3-2015
PID05804,27,female,11692,Arverne,2013/9/7,Administrative,2014/2/23,,15,25,HS Graduate,Q1-2014
PID07825,31,female,11233,Brooklyn,2013/7/5,Administrative,2013/12/20,,20,30,HS Graduate,Q4-2013
PID17954,33,female,11238,Brooklyn,2013/8/16,Administrative,2014/1/31,2014/3/1,10,30,HS Graduate,Q1-2014
PID00195,37,female,11692,Arverne,2011/10/4,Administrative,2012/3/19,,7.5,30,HS Graduate,Q1-2012
PID19690,25,female,11426,Bellerose,2012/12/24,Administrative,2013/6/9,,9,20,HS Graduate,Q2-2013
PID12875,48,female,11101,Long Island City,2013/5/18,Administrative,2013/11/1,,21.63,35,HS Graduate,Q4-2013
PID03289,26,female,11237,Brooklyn,2013/7/2,Administrative,2013/12/16,,12,40,HS Graduate,Q4-2013
PID00548,26,male,11212,Brooklyn,2013/1/23,Administrative,2013/7/8,2013/9/20,7.25,30,College,Q3-2013
PID05710,25,male,11229,Brooklyn,2014/6/27,Administrative,2014/12/10,2014/12/24,16,30,HS Graduate,Q4-2014
PID06711,41,female,11234,Brooklyn,2014/4/17,Administrative,2014/9/30,,11,27.5,HS Graduate,Q3-2014
PID07603,48,female,10472,Bronx,2015/2/18,Administrative,2015/8/3,,8.75,40,HS Graduate,Q3-2015
PID03824,34,female,11236,Brooklyn,2015/4/8,Administrative,2015/9/21,,12.5,30,HS Graduate,Q3-2015
PID05649,58,female,10451,Bronx,2015/4/16,Administrative,2015/9/29,,20.35,25,College,Q3-2015
PID01080,23,female,11232,Brooklyn,2011/8/25,Administrative,2012/2/6,2012/4/16,7.25,40,HS Graduate,Q1-2012
PID11338,44,female,11234,Brooklyn,2013/9/27,Administrative,2014/3/11,,21.63,40,HS Graduate,Q1-2014
PID04947,54,female,11226,Brooklyn,2012/9/30,Administrative,2013/3/13,,9,30,HS Graduate,Q1-2013
PID16993,45,male,11233,Brooklyn,2011/5/22,Administrative,2011/11/2,2012/6/4,10,32,HS Graduate,Q4-2011
PID03491,42,female,11226,Brooklyn,2012/2/20,Administrative,2012/8/1,,21,35,HS Graduate,Q3-2012
PID10287,56,male,11234,Brooklyn,2012/9/1,Administrative,2013/2/11,,16,21,HS Graduate,Q1-2013
PID02203,42,male,11206,Brooklyn,2012/12/16,Administrative,2013/5/28,,28.85,40,HS Graduate,Q2-2013
PID06302,28,female,11206,Brooklyn,2012/8/6,Administrative,2013/1/16,2013/4/19,9,25,HS Graduate,Q1-2013
PID18112,45,female,11422,Rosedale,2013/4/1,Administrative,2013/9/11,2013/10/4,20,37.5,HS Graduate,Q3-2013
PID07611,35,female,10462,Bronx,2015/3/29,Administrative,2015/9/8,,30,40,HS Graduate,Q3-2015
PID17275,30,male,10003,New York,2012/4/26,Administrative,2012/10/5,,11.3,35,HS Graduate,Q4-2012
PID06594,48,male,11357,Whitestone,2013/11/3,Administrative,2014/4/14,,19,40,HS Graduate,Q2-2014
PID07836,43,female,11208,Brooklyn,2014/5/11,Administrative,2014/10/20,,8,25,HS Graduate,Q4-2014
PID19433,33,male,11208,Brooklyn,2014/10/28,Administrative,2015/4/8,,40,10,Post Graduate,Q2-2015
PID00991,33,female,11233,Brooklyn,2011/1/7,Administrative,2011/6/17,2014/5/1,7.25,22,HS Graduate,Q2-2011
PID03049,27,male,11219,Brooklyn,2011/8/29,Administrative,2012/2/6,,7.25,30,HS Graduate,Q1-2012
PID18768,23,female,11691,Far Rockaway,2012/12/13,Administrative,2013/5/23,,13.75,30,HS Graduate,Q2-2013
PID16257,34,female,11221,Brooklyn,2013/7/29,Administrative,2014/1/6,,26.37,35,HS Graduate,Q1-2014
PID09842,32,female,11221,Brooklyn,2013/7/25,Administrative,2014/1/2,2014/5/1,8,30,HS Graduate,Q1-2014
PID12584,39,female,10466,Bronx,2015/3/23,Administrative,2015/8/31,2015/10/16,16,40,Some College,Q3-2015
PID12793,31,female,10467,Bronx,2014/11/17,Administrative,2015/4/27,,31.25,40,College,Q2-2015
PID17975,25,female,11691,Far Rockaway,2015/1/19,Administrative,2015/6/29,,9,40,HS Graduate,Q2-2015
PID00883,62,female,11432,Jamaica,2012/5/12,Administrative,2012/10/19,,12,40,HS Graduate,Q4-2012
PID16533,48,male,11226,Brooklyn,2012/8/31,Administrative,2013/2/7,,7.5,35,HS Graduate,Q1-2013
PID18476,49,female,11224,Brooklyn,2013/3/27,Administrative,2013/9/3,,11,40,HS Graduate,Q3-2013
PID17046,32,female,11432,Jamaica,2013/11/12,Administrative,2014/4/21,,18.5,35,HS Graduate,Q2-2014
PID00309,24,female,10469,Bronx,2015/4/5,Administrative,2015/9/12,,15,40,HS Graduate,Q3-2015
PID07499,35,male,11233,Brooklyn,2015/4/7,Administrative,2015/9/14,,20,40,HS Graduate,Q3-2015
PID01016,32,male,11234,Brooklyn,2012/8/15,Administrative,2013/1/21,2013/4/12,15,40,College,Q1-2013
PID01098,35,male,11411,Cambria Heights,2013/1/21,Administrative,2013/6/28,2013/9/16,9,20,HS Graduate,Q2-2013
PID04261,38,male,11216,Brooklyn,2013/4/5,Administrative,2013/9/10,,20,30,HS Graduate,Q3-2013
PID05768,49,female,11208,Brooklyn,2013/11/28,Administrative,2014/5/5,2014/5/31,12.3,30,HS Graduate,Q2-2014
PID08288,34,female,11691,Far Rockaway,2013/5/17,Administrative,2013/10/22,,17.5,35,HS Graduate,Q4-2013
PID08428,35,male,11237,Brooklyn,2015/4/14,Administrative,2015/9/19,2015/10/7,18.75,40,HS Graduate,Q3-2015
PID09602,36,male,11225,Brooklyn,2013/8/2,Administrative,2014/1/6,,10,40,HS Graduate,Q1-2014
PID00087,33,female,11368,Corona,2013/10/11,Administrative,2014/3/17,,8,30,HS Graduate,Q1-2014
PID00539,60,female,11218,Brooklyn,2013/1/26,Administrative,2013/7/1,,24,40,HS Graduate,Q3-2013
PID00888,37,female,11208,Brooklyn,2013/4/6,Administrative,2013/9/9,,7.25,20,HS Graduate,Q3-2013
PID00546,56,male,11691,Far Rockaway,2011/5/1,Administrative,2011/10/3,2011/11/1,7.5,30,HS Graduate,Q4-2011
PID02681,41,female,11232,Brooklyn,2011/8/7,Administrative,2012/1/9,2012/1/31,10,30,College,Q1-2012
PID00209,29,female,11234,Brooklyn,2013/2/20,Administrative,2013/7/25,,7.25,30,HS Graduate,Q3-2013
PID04802,41,male,10456,Bronx,2015/4/15,Administrative,2015/9/17,,18.94,40,College,Q3-2015
PID05204,32,female,11101,Long Island City,2015/4/8,Administrative,2015/9/9,,14.8,28,HS Graduate,Q3-2015
PID18478,31,male,11226,Brooklyn,2013/5/13,Administrative,2013/10/14,,8.5,30,HS Graduate,Q4-2013
PID10002,35,male,11106,Astoria,2013/8/15,Administrative,2014/1/16,,9,30,HS Graduate,Q1-2014
PID14014,32,female,11232,Brooklyn,2012/5/1,Administrative,2012/10/1,,15,20,HS Graduate,Q4-2012
PID11395,53,male,11691,Far Rockaway,2011/9/6,Administrative,2012/2/6,,7.25,20,HS Graduate,Q1-2012
PID04482,32,male,11210,Brooklyn,2013/6/4,Administrative,2013/11/4,,13,25,HS Graduate,Q4-2013
PID11410,23,male,11216,Brooklyn,2014/8/21,Administrative,2015/1/21,2015/3/1,9,30,HS Graduate,Q1-2015
PID06954,28,female,11221,Brooklyn,2014/7/15,Administrative,2014/12/15,,15,40,Some College,Q4-2014
PID06798,49,female,11216,Brooklyn,2014/8/27,Administrative,2015/1/27,,20,40,HS Graduate,Q1-2015
PID04519,54,male,10462,Bronx,2015/1/14,Administrative,2015/6/16,,9,30,HS Graduate,Q2-2015
PID05651,29,male,10457,Bronx,2015/4/9,Administrative,2015/9/9,,10,20,HS Graduate,Q3-2015
PID19210,42,male,11209,Brooklyn,2012/1/11,Administrative,2012/6/11,,38.46,40,College,Q2-2012
PID04945,34,female,11236,Brooklyn,2013/5/11,Administrative,2013/10/10,,10,30,HS Graduate,Q4-2013
PID00178,56,female,11216,Brooklyn,2013/5/31,Administrative,2013/10/30,,8,22,HS Graduate,Q4-2013
PID00674,27,male,11210,Brooklyn,2013/10/5,Administrative,2014/3/6,,10,40,HS Graduate,Q1-2014
PID10535,43,male,11691,Far Rockaway,2014/3/27,Administrative,2014/8/26,2014/9/10,25,40,Some College,Q3-2014
PID10305,27,female,11208,Brooklyn,2014/12/18,Administrative,2015/5/19,,9,30,HS Graduate,Q2-2015
PID03071,35,female,11238,Brooklyn,2013/5/18,Administrative,2013/10/15,,12,20,HS Graduate,Q4-2013
PID17775,28,female,11221,Brooklyn,2014/2/21,Administrative,2014/7/21,,21,30,Some College,Q3-2014
PID01699,35,female,11433,Jamaica,2014/5/4,Administrative,2014/9/30,2014/10/9,11,20,HS Graduate,Q3-2014
PID14036,48,male,11208,Brooklyn,2014/1/4,Administrative,2014/6/2,2014/6/24,17.78,40,HS Graduate,Q2-2014
PID17943,23,female,11691,Far Rockaway,2014/1/27,Administrative,2014/6/25,2014/7/21,11,30,HS Graduate,Q2-2014
PID00731,28,female,11216,Brooklyn,2012/12/5,Administrative,2013/5/2,,8,35,HS Graduate,Q2-2013
PID05680,61,male,11101,Long Island City,2014/1/19,Administrative,2014/6/16,,14.93,35,HS Graduate,Q2-2014
PID08059,34,female,11691,Far Rockaway,2014/1/27,Administrative,2014/6/24,,8.5,30,HS Graduate,Q2-2014
PID00500,59,female,10469,Bronx,2015/2/26,Administrative,2015/7/24,,20,35,HS Graduate,Q3-2015
PID18766,57,male,11206,Brooklyn,2014/7/6,Administrative,2014/12/1,2015/1/15,12,40,HS Graduate,Q4-2014
PID19693,25,female,11435,Jamaica,2012/8/12,Administrative,2013/1/7,2013/2/2,9,30,HS Graduate,Q1-2013
PID05682,50,male,11209,Brooklyn,2011/1/25,Administrative,2011/6/21,2011/6/30,15,20,HS Graduate,Q2-2011
PID14177,42,male,11004,Glen Oaks,2014/4/10,Administrative,2014/9/4,,18.75,30,HS Graduate,Q3-2014
PID14258,53,female,11692,Arverne,2012/8/20,Administrative,2013/1/14,2013/6/12,14.75,30,HS Graduate,Q1-2013
PID15460,24,male,11691,Far Rockaway,2012/4/26,Administrative,2012/9/20,2012/10/12,8.75,20,HS Graduate,Q3-2012
PID03031,59,male,10012,New York,2012/5/16,Administrative,2012/10/9,2013/1/4,26.5,20,Some College,Q4-2012
PID07604,48,female,10472,Bronx,2015/3/10,Administrative,2015/8/3,2015/8/5,8.75,40,HS Graduate,Q3-2015
PID13794,33,male,11216,Brooklyn,2014/10/7,Administrative,2015/3/2,2015/5/13,42.3,30,Post Graduate,Q1-2015
PID11394,39,female,11433,Jamaica,2014/12/31,Administrative,2015/5/26,,8.75,30,HS Graduate,Q2-2015
PID17976,24,female,11691,Far Rockaway,2015/2/7,Administrative,2015/7/3,,9,40,HS Graduate,Q3-2015
PID16542,33,male,11226,Brooklyn,2012/3/31,Administrative,2012/8/23,,7.75,40,College,Q3-2012
PID19883,45,female,11236,Brooklyn,2013/1/4,Administrative,2013/5/29,,31.25,30,HS Graduate,Q2-2013
PID04902,22,male,11412,Saint Albans,2012/10/31,Administrative,2013/3/25,2013/3/29,7.25,25,HS Graduate,Q1-2013
PID11406,24,female,11691,Far Rockaway,2013/8/25,Administrative,2014/1/17,2014/2/25,8,20,HS Graduate,Q1-2014
PID14209,41,female,11210,Brooklyn,2015/4/8,Administrative,2015/8/31,,24,40,HS Graduate,Q3-2015
PID15277,38,female,11230,Brooklyn,2011/4/20,Administrative,2011/9/11,2011/10/1,9.15,40,HS Graduate,Q3-2011
PID17950,49,male,11236,Brooklyn,2013/10/31,Administrative,2014/3/24,2014/5/5,11,25,College,Q1-2014
PID18758,35,male,11691,Far Rockaway,2011/5/6,Administrative,2011/9/26,,14.6,24,HS Graduate,Q3-2011
PID10356,37,male,11694,Rockaway Park,2012/10/9,Administrative,2013/3/1,,11.54,30,HS Graduate,Q1-2013
PID14786,60,male,11691,Far Rockaway,2012/11/2,Administrative,2013/3/25,,7.25,20,HS Graduate,Q1-2013
PID01973,50,male,11221,Brooklyn,2013/9/26,Administrative,2014/2/16,,15,28,HS Graduate,Q1-2014
PID02807,29,female,11365,Fresh Meadows,2013/11/15,Administrative,2014/4/7,,15.5,40,HS Graduate,Q2-2014
PID00367,40,female,11213,Brooklyn,2014/2/1,Administrative,2014/6/24,,13,35,HS Graduate,Q2-2014
PID01534,35,female,10458,Bronx,2014/11/22,Administrative,2015/4/13,2015/4/29,8.75,32,HS Graduate,Q2-2015
PID02655,35,female,11212,Brooklyn,2013/4/15,Administrative,2013/9/4,,16,30,HS Graduate,Q3-2013
